paper_id,stage,criteria_ref,criterion_text,question_ids,evidence_fields,criteria_source
2409.13738,stage1,R1,Title/abstract explicitly indicates that the paper specifically covers the use of NLP for process extraction from natural language text.,Q1;Q2;Q4,nlp_role;source_object;task_sentence,criteria_stage1/2409.13738.json
2409.13738,stage1,R2,Observable task signal links natural-language text to process-model or process-representation extraction/construction objectives.,Q1;Q2;Q3;Q4,nlp_role;non_target_task_signal;source_object;target_object;task_sentence,criteria_stage1/2409.13738.json
2409.13738,stage1,R3,"When the core fit is plausible but title/abstract evidence is incomplete, keep maybe and defer final confirmation to Stage 2.",Q7,stage1_uncertainty,criteria_stage1/2409.13738.json
2409.13738,stage1,E1,Title/abstract clearly indicates the study is not specifically covering NLP for process extraction from natural language text.,Q4,nlp_role,criteria_stage1/2409.13738.json
2409.13738,stage1,E2,"Observable non-target examples: NLP for process redesign, matching, or process prediction.",Q3;Q5,non_target_task_signal;target_object,criteria_stage1/2409.13738.json
2409.13738,stage1,E3,"Observable non-target examples: sentiment analysis, label-only targets, or generating natural text from processes.",Q2;Q3;Q5,non_target_task_signal;source_object;target_object,criteria_stage1/2409.13738.json
2409.13738,stage1,E4,Survey/review papers are excluded when title/abstract clearly indicates secondary research.,Q6,secondary_research_signal,criteria_stage1/2409.13738.json
2409.13738,stage2,I1,"Paper is a full research article published in a peer-reviewed conference or journal, a full text is available, and the paper is written in English.",Q0,fulltext_availability;language;paper_type;peer_reviewed_or_venue_type,criteria_stage2/2409.13738.json
2409.13738,stage2,I2,Paper is a primary research article presenting an original research contribution.,Q1,conflict_note;primary_research_signal;secondary_research_signal,criteria_stage2/2409.13738.json
2409.13738,stage2,I3,Paper specifically covers the use of NLP for process extraction from natural language text.,Q2;Q3;Q7,conflict_note;nlp_role;non_target_task_signal;source_object;target_object;task_sentence,criteria_stage2/2409.13738.json
2409.13738,stage2,I4,Paper explicates a concrete method and describes experiments to empirically validate the method.,Q4;Q5;Q7,concrete_method_signal;conflict_note;experimental_validation_signal,criteria_stage2/2409.13738.json
2409.13738,stage2,E1,"Exclude papers that are not full research papers, not in a conference or journal, not peer-reviewed including preprints, without full text, or not in English.",Q0,fulltext_availability;language;paper_type;peer_reviewed_or_venue_type,criteria_stage2/2409.13738.json
2409.13738,stage2,E2,Exclude secondary research articles.,Q1,conflict_note;primary_research_signal;secondary_research_signal,criteria_stage2/2409.13738.json
2409.13738,stage2,E3,"Exclude papers not specifically covering NLP for process extraction, including redesign, matching, prediction, sentiment, label-only, or text-from-process generation.",Q2;Q3;Q6;Q7,conflict_note;nlp_role;non_target_task_signal;source_object;target_object;task_sentence,criteria_stage2/2409.13738.json
2409.13738,stage2,E4,Exclude papers that only superficially discuss the method or do not describe experiments.,Q4;Q5;Q7,concrete_method_signal;conflict_note;experimental_validation_signal,criteria_stage2/2409.13738.json
2511.13936,stage1,I1,"Title/abstract indicates preference-learning evidence in audio, such as ranking or A/B comparison of two or more audio clips.",Q1;Q2;Q5;Q9,comparison_type;learning_vs_evaluation_role;preference_learning_signal;stage1_uncertainty;task_sentence,criteria_stage1/2511.13936.json
2511.13936,stage1,I2,Numeric ratings count as preference evidence only when converted to rankings or comparative preference signals.,Q3;Q9,rating_to_preference_conversion;stage1_uncertainty,criteria_stage1/2511.13936.json
2511.13936,stage1,I3,Papers without explicit comparisons remain eligible when title/abstract indicates an RL training loop for an audio model.,Q4;Q5;Q9,learning_vs_evaluation_role;rl_loop_for_audio_model;stage1_uncertainty,criteria_stage1/2511.13936.json
2511.13936,stage1,I4,Paper is applied within the audio domain; multimodal works including audio are within the audio domain.,Q1;Q6;Q7;Q9,audio_domain_signal;multimodal_with_audio;stage1_uncertainty;task_sentence,criteria_stage1/2511.13936.json
2511.13936,stage1,I5,Paper is not a survey or review article.,Q8,survey_signal,criteria_stage1/2511.13936.json
2511.13936,stage1,E1,"Exclude studies that use preferences solely for evaluation, with no learning component.",Q2;Q5;Q9,comparison_type;learning_vs_evaluation_role;preference_learning_signal;stage1_uncertainty,criteria_stage1/2511.13936.json
2511.13936,stage1,E2,Exclude studies clearly not in the audio domain.,Q6,audio_domain_signal,criteria_stage1/2511.13936.json
2511.13936,stage1,E3,Exclude survey or review articles.,Q8,survey_signal,criteria_stage1/2511.13936.json
2511.13936,stage2,I1,"Paper pertains to preference learning: ranking/A-B comparison of audio clips, numeric ratings only when converted to rankings, human or synthetic preferences, or RL loop for an audio model without explicit comparisons.",Q1;Q2;Q3;Q4;Q5;Q8,comparison_type;conflict_note;learning_vs_evaluation_role;optimization_target;preference_learning_signal;preference_signal_source;rating_to_preference_conversion;reward_model_or_preference_model;rl_loop_for_audio_model;task_sentence,criteria_stage2/2511.13936.json
2511.13936,stage2,I2,Paper is applied within the audio domain; multimodal works including audio are within the audio domain.,Q6;Q8,audio_domain_signal;conflict_note;multimodal_with_audio,criteria_stage2/2511.13936.json
2511.13936,stage2,I3,Paper is not a survey or review article.,Q7;Q8,conflict_note;survey_signal,criteria_stage2/2511.13936.json
2511.13936,stage2,E1,"Exclude studies that use preferences solely for evaluation, with no learning component.",Q1;Q5;Q8,comparison_type;conflict_note;learning_vs_evaluation_role;preference_learning_signal;task_sentence,criteria_stage2/2511.13936.json
2511.13936,stage2,E2,Exclude survey or review articles.,Q7;Q8,conflict_note;survey_signal,criteria_stage2/2511.13936.json
